Currency,Current Price,Converted Price,Lowest Recorded Price
British Pound,£8.50,£8.50,£5.95 at -30%
Russian Ruble,385 ₽,£3.29,£2.30
South African Rand,R 100.00,£4.24,£2.97
South Asia - USD,$5.49,£4.34,£3.04
Malaysian Ringgit,RM26.75,£4.46,£3.12
Vietnamese Dong,142000₫,£4.50,£3.15
Indonesian Rupiah,Rp 90999,£4.53,£3.17
Ukrainian Hryvnia,225₴,£4.55,£3.18
Indian Rupee,₹ 480,£4.56,£3.19
LATAM - U.S. Dollar,$5.79,£4.58,£3.20
MENA - U.S. Dollar,$5.79,£4.58,£3.20
Chinese Yuan,¥ 42,£4.59,£3.21
Taiwan Dollar,NT$ 188,£4.63,£3.23
Philippine Peso,₱335.00,£4.68,£3.28
Saudi Riyal,22.49 SR,£4.74,£3.32
Thai Baht,฿220.00,£4.76,£3.33
Chilean Peso,CLP$ 5750,£4.79,£3.35
Peruvian Sol,S/.23.00,£4.94,£3.46
CIS - U.S. Dollar,$6.29,£4.97,£3.48
Kuwaiti Dinar,1.95 KD,£5.02,£3.50
Kazakhstani Tenge,2900₸,£5.14,£3.59
Brazilian Real,"R$ 32,99",£5.15,£3.60
Qatari Riyal,24.99 QR,£5.43,£3.80
Colombian Peso,COL$ 26000,£5.45,£3.81
Singapore Dollar,S$10.00,£5.87,£4.11
Mexican Peso,Mex$ 123.99,£5.95,£4.16
U.A.E. Dirham,29.00 AED,£6.25,£4.37
Japanese Yen,¥ 1200,£6.26,£4.38
South Korean Won,₩ 11000,£6.44,£4.50
Uruguayan Peso,$U310,£6.46,£4.52
Hong Kong Dollar,HK$ 66.00,£6.67,£4.67
New Zealand Dollar,NZ$ 14.75,£7.02,£4.91
Costa Rican Colon,₡4600,£7.15,£5.00
Australian Dollar,A$ 14.50,£7.55,£5.29
Canadian Dollar,CDN$ 12.99,£7.57,£5.29
Israeli New Shekel,₪36.95,£7.77,£5.44
U.S. Dollar,$9.99,£7.90,£5.53
Norwegian Krone,"110,00 kr",£8.12,£5.68
Euro,"9,75€",£8.36,£5.85
Polish Zloty,"45,99zł",£9.21,£6.45
Swiss Franc,CHF 10.99,£9.66,£6.76
